x,y,z
0.15744,0.27269,0.88484
0.33608,0,0.87986
0.47254,0.27269,0.76448
0.71182,0.29105,0.54378
0.50974,0.54558,0.56973
0.43993,0.76198,0.33608
0.21762,0.71424,0.56973
-0.00012,0.54558,0.76448
-0.31487,0,0.88484
-0.16804,0.29105,0.87986
-0.47243,0.27289,0.76448
-0.60797,0.47093,0.54378
-0.72736,0.16865,0.56973
-0.87986,0,0.33608
-0.72736,-0.16866,0.56973
-0.47243,-0.27289,0.76448
0.15744,-0.27269,0.88484
-0.16804,-0.29105,0.87986
-0.00012,-0.54558,0.76448
-0.10385,-0.76198,0.54378
0.21762,-0.71423,0.56973
0.50974,-0.54558,0.56973
0.47255,-0.27268,0.76448
0.82459,0,0.4496
0.71182,-0.29104,0.54378
0.86178,-0.27289,0.25486
0.81567,-0.47092,0
0.92196,-0.16865,-0.06025
0.92196,0.16866,-0.06025
0.86178,0.27289,0.25486
-0.4123,0.71411,0.4496
-0.10386,0.76198,0.54378
-0.19456,0.88277,0.25486
0,0.94186,0
-0.31492,0.88277,-0.06025
-0.60704,0.71411,-0.06025
-0.66722,0.60987,0.25486
-0.41229,-0.71411,0.44961
-0.60797,-0.47093,0.54378
-0.66722,-0.60988,0.25486
-0.81567,-0.47093,0
-0.60704,-0.71411,-0.06025
-0.31492,-0.88277,-0.06025
-0.19456,-0.88277,0.25486
0.60704,0.71411,0.06025
0.81567,0.47093,0
0.66722,0.60988,-0.25486
0.60797,0.47093,-0.54378
0.41229,0.71411,-0.44961
0.19456,0.88277,-0.25486
0.31492,0.88277,0.06025
0.60704,-0.71411,0.06025
0.43993,-0.76197,0.33608
0.31492,-0.88277,0.06025
0,-0.94186,0
0.19456,-0.88277,-0.25486
0.10386,-0.76198,-0.54378
0.4123,-0.71411,-0.4496
0.66722,-0.60987,-0.25486
-0.92196,0.16865,0.06025
-0.81567,0.47092,0
-0.86178,0.27289,-0.25486
-0.71182,0.29104,-0.54378
-0.82459,0,-0.4496
-0.86178,-0.27289,-0.25486
-0.92196,-0.16866,0.06025
0.72736,0.16866,-0.56973
0.87986,0,-0.33608
0.72736,-0.16865,-0.56973
0.60797,-0.47093,-0.54378
0.47243,-0.27289,-0.76448
0.16804,-0.29105,-0.87986
0.31487,0,-0.88484
0.47243,0.27289,-0.76448
-0.50974,0.54558,-0.56973
-0.43993,0.76197,-0.33608
-0.21762,0.71423,-0.56973
0.10385,0.76198,-0.54378
0.00012,0.54558,-0.76448
0.16804,0.29105,-0.87986
-0.15744,0.27269,-0.88484
-0.47255,0.27268,-0.76448
-0.21762,-0.71424,-0.56973
-0.43993,-0.76198,-0.33608
-0.50974,-0.54558,-0.56973
-0.71182,-0.29105,-0.54378
-0.47254,-0.27269,-0.76448
-0.33608,0,-0.87986
-0.15744,-0.27269,-0.88484
0.00012,-0.54558,-0.76448
