p1,p2,p3,p4,p5,p6
9,0,7,,,
1,2,0,,,
3,4,2,,,
5,6,4,,,
31,7,6,,,
17,8,15,,,
9,10,8,,,
11,12,10,,,
13,14,12,,,
38,15,14,,,
1,16,22,,,
17,18,16,,,
19,20,18,,,
52,21,20,,,
24,22,21,,,
3,23,29,,,
24,25,23,,,
26,27,25,,,
67,28,27,,,
45,29,28,,,
11,30,36,,,
31,32,30,,,
33,34,32,,,
75,35,34,,,
60,36,35,,,
19,37,43,,,
38,39,37,,,
40,41,39,,,
83,42,41,,,
54,43,42,,,
5,44,50,,,
45,46,44,,,
47,48,46,,,
77,49,48,,,
33,50,49,,,
26,51,58,,,
52,53,51,,,
54,55,53,,,
56,57,55,,,
69,58,57,,,
13,59,65,,,
60,61,59,,,
62,63,61,,,
85,64,63,,,
40,65,64,,,
47,66,73,,,
67,68,66,,,
69,70,68,,,
71,72,70,,,
79,73,72,,,
62,74,81,,,
75,76,74,,,
77,78,76,,,
79,80,78,,,
87,81,80,,,
56,82,89,,,
83,84,82,,,
85,86,84,,,
87,88,86,,,
71,89,88,,,
0,2,4,6,7,
8,10,12,14,15,
16,18,20,21,22,
23,25,27,28,29,
30,32,34,35,36,
37,39,41,42,43,
44,46,48,49,50,
51,53,55,57,58,
59,61,63,64,65,
66,68,70,72,73,
74,76,78,80,81,
82,84,86,88,89,
7,31,30,11,10,9
9,8,17,16,1,0
1,22,24,23,3,2
3,29,45,44,5,4
5,50,33,32,31,6
15,38,37,19,18,17
11,36,60,59,13,12
13,65,40,39,38,14
19,43,54,53,52,20
52,51,26,25,24,21
26,58,69,68,67,27
67,66,47,46,45,28
33,49,77,76,75,34
75,74,62,61,60,35
40,64,85,84,83,41
83,82,56,55,54,42
47,73,79,78,77,48
56,89,71,70,69,57
62,81,87,86,85,63
71,88,87,80,79,72
